patient_id,sequence_id,frame_index,image_path,mask_path,timestamp,split,still
us_imu_20260909_160656,S00,0,images/us_imu_20260909_160656_00000.png,,0.000,train,0
us_imu_20260909_160656,S00,1,images/us_imu_20260909_160656_00001.png,,0.100,train,0
us_imu_20260909_160656,S00,2,images/us_imu_20260909_160656_00002.png,,0.199,train,0
us_imu_20260909_160656,S00,3,images/us_imu_20260909_160656_00003.png,,0.293,train,0
us_imu_20260909_160656,S00,4,images/us_imu_20260909_160656_00004.png,,0.400,train,0
us_imu_20260909_160656,S00,5,images/us_imu_20260909_160656_00005.png,,0.501,train,0
us_imu_20260909_160656,S00,6,images/us_imu_20260909_160656_00006.png,,0.600,train,0
us_imu_20260909_160656,S00,7,images/us_imu_20260909_160656_00007.png,,0.700,train,0
us_imu_20260909_160656,S00,8,images/us_imu_20260909_160656_00008.png,,0.800,train,0
us_imu_20260909_160656,S00,9,images/us_imu_20260909_160656_00009.png,,0.900,train,0
us_imu_20260909_160656,S00,10,images/us_imu_20260909_160656_00010.png,,1.000,train,0
us_imu_20260909_160656,S00,11,images/us_imu_20260909_160656_00011.png,,1.090,train,0
us_imu_20260909_160656,S00,12,images/us_imu_20260909_160656_00012.png,,1.199,train,0
us_imu_20260909_160656,S00,13,images/us_imu_20260909_160656_00013.png,,1.307,train,0
us_imu_20260909_160656,S00,14,images/us_imu_20260909_160656_00014.png,,1.396,train,0
us_imu_20260909_160656,S00,15,images/us_imu_20260909_160656_00015.png,,1.492,train,0
us_imu_20260909_160656,S00,16,images/us_imu_20260909_160656_00016.png,,1.603,train,0
us_imu_20260909_160656,S00,17,images/us_imu_20260909_160656_00017.png,,1.699,train,0
us_imu_20260909_160656,S00,18,images/us_imu_20260909_160656_00018.png,,1.800,train,0
us_imu_20260909_160656,S00,19,images/us_imu_20260909_160656_00019.png,,1.891,train,0
us_imu_20260909_160656,S00,20,images/us_imu_20260909_160656_00020.png,,1.991,train,0
us_imu_20260909_160656,S00,21,images/us_imu_20260909_160656_00021.png,,2.101,train,0
us_imu_20260909_160656,S00,22,images/us_imu_20260909_160656_00022.png,,2.192,train,0
us_imu_20260909_160656,S00,23,images/us_imu_20260909_160656_00023.png,,2.295,train,0
us_imu_20260909_160656,S00,24,images/us_imu_20260909_160656_00024.png,,2.394,train,0
us_imu_20260909_160656,S00,25,images/us_imu_20260909_160656_00025.png,,2.495,train,0
us_imu_20260909_160656,S00,26,images/us_imu_20260909_160656_00026.png,,2.602,train,0
us_imu_20260909_160656,S00,27,images/us_imu_20260909_160656_00027.png,,2.693,train,0
us_imu_20260909_160656,S00,28,images/us_imu_20260909_160656_00028.png,,2.788,train,0
us_imu_20260909_160656,S00,29,images/us_imu_20260909_160656_00029.png,,2.898,train,0
us_imu_20260909_160656,S00,30,images/us_imu_20260909_160656_00030.png,,2.998,train,0
us_imu_20260909_160656,S00,31,images/us_imu_20260909_160656_00031.png,,3.089,train,0
us_imu_20260909_160656,S00,32,images/us_imu_20260909_160656_00032.png,,3.201,train,0
us_imu_20260909_160656,S00,33,images/us_imu_20260909_160656_00033.png,masks/us_imu_20260909_160656_00033.png,3.296,train,0
us_imu_20260909_160656,S00,34,images/us_imu_20260909_160656_00034.png,,3.392,train,0
us_imu_20260909_160656,S00,35,images/us_imu_20260909_160656_00035.png,,3.503,train,0
us_imu_20260909_160656,S00,36,images/us_imu_20260909_160656_00036.png,,3.597,train,0
us_imu_20260909_160656,S00,37,images/us_imu_20260909_160656_00037.png,,3.696,train,0
us_imu_20260909_160656,S00,38,images/us_imu_20260909_160656_00038.png,,3.788,train,0
us_imu_20260909_160656,S00,39,images/us_imu_20260909_160656_00039.png,,3.890,train,0
us_imu_20260909_160656,S00,40,images/us_imu_20260909_160656_00040.png,,3.996,train,0
us_imu_20260909_160656,S00,41,images/us_imu_20260909_160656_00041.png,,4.091,train,0
us_imu_20260909_160656,S00,42,images/us_imu_20260909_160656_00042.png,,4.187,train,0
us_imu_20260909_160656,S00,43,images/us_imu_20260909_160656_00043.png,,4.298,train,0
us_imu_20260909_160656,S00,44,images/us_imu_20260909_160656_00044.png,,4.328,train,0
us_imu_20260909_160656,S00,45,images/us_imu_20260909_160656_00045.png,,4.500,train,0
us_imu_20260909_160656,S00,46,images/us_imu_20260909_160656_00046.png,,4.588,train,0
us_imu_20260909_160656,S00,47,images/us_imu_20260909_160656_00047.png,,4.697,train,0
us_imu_20260909_160656,S00,48,images/us_imu_20260909_160656_00048.png,,4.788,train,0
us_imu_20260909_160656,S00,49,images/us_imu_20260909_160656_00049.png,,4.899,train,0
us_imu_20260909_160656,S00,50,images/us_imu_20260909_160656_00050.png,,4.994,train,0
us_imu_20260909_160656,S00,51,images/us_imu_20260909_160656_00051.png,,5.096,train,0
us_imu_20260909_160656,S00,52,images/us_imu_20260909_160656_00052.png,,5.192,train,0
us_imu_20260909_160656,S00,53,images/us_imu_20260909_160656_00053.png,,5.295,train,0
us_imu_20260909_160656,S00,54,images/us_imu_20260909_160656_00054.png,,5.392,train,0
us_imu_20260909_160656,S00,55,images/us_imu_20260909_160656_00055.png,,5.498,train,0
us_imu_20260909_160656,S00,56,images/us_imu_20260909_160656_00056.png,,5.589,train,0
us_imu_20260909_160656,S00,57,images/us_imu_20260909_160656_00057.png,,5.700,train,0
us_imu_20260909_160656,S00,58,images/us_imu_20260909_160656_00058.png,,5.802,train,0
us_imu_20260909_160656,S00,59,images/us_imu_20260909_160656_00059.png,,5.891,train,0
us_imu_20260909_160656,S00,60,images/us_imu_20260909_160656_00060.png,,5.996,train,0
us_imu_20260909_160656,S00,61,images/us_imu_20260909_160656_00061.png,,6.089,train,0
us_imu_20260909_160656,S00,62,images/us_imu_20260909_160656_00062.png,,6.200,train,0
us_imu_20260909_160656,S00,63,images/us_imu_20260909_160656_00063.png,,6.294,train,0
us_imu_20260909_160656,S00,64,images/us_imu_20260909_160656_00064.png,,6.389,train,0
us_imu_20260909_160656,S00,65,images/us_imu_20260909_160656_00065.png,,6.500,train,0
us_imu_20260909_160656,S00,66,images/us_imu_20260909_160656_00066.png,,6.595,train,0
us_imu_20260909_160656,S00,67,images/us_imu_20260909_160656_00067.png,,6.700,train,0
us_imu_20260909_160656,S00,68,images/us_imu_20260909_160656_00068.png,,6.801,train,0
us_imu_20260909_160656,S00,69,images/us_imu_20260909_160656_00069.png,,6.896,train,0
us_imu_20260909_160656,S00,70,images/us_imu_20260909_160656_00070.png,,6.997,train,0
us_imu_20260909_160656,S00,71,images/us_imu_20260909_160656_00071.png,,7.090,train,0
us_imu_20260909_160656,S00,72,images/us_imu_20260909_160656_00072.png,,7.191,train,0
us_imu_20260909_160656,S00,73,images/us_imu_20260909_160656_00073.png,,7.294,train,0
us_imu_20260909_160656,S00,74,images/us_imu_20260909_160656_00074.png,,7.398,train,0
us_imu_20260909_160656,S00,75,images/us_imu_20260909_160656_00075.png,,7.500,train,0
us_imu_20260909_160656,S00,76,images/us_imu_20260909_160656_00076.png,,7.597,train,0
us_imu_20260909_160656,S00,77,images/us_imu_20260909_160656_00077.png,,7.693,train,0
us_imu_20260909_160656,S00,78,images/us_imu_20260909_160656_00078.png,,7.801,train,0
us_imu_20260909_160656,S00,79,images/us_imu_20260909_160656_00079.png,,7.891,train,0
us_imu_20260909_160656,S00,80,images/us_imu_20260909_160656_00080.png,,7.993,train,0
us_imu_20260909_160656,S00,81,images/us_imu_20260909_160656_00081.png,,8.092,train,0
us_imu_20260909_160656,S00,82,images/us_imu_20260909_160656_00082.png,,8.197,train,0
us_imu_20260909_160656,S00,83,images/us_imu_20260909_160656_00083.png,,8.296,train,0
us_imu_20260909_160656,S00,84,images/us_imu_20260909_160656_00084.png,,8.392,train,0
us_imu_20260909_160656,S00,85,images/us_imu_20260909_160656_00085.png,,8.492,train,0
us_imu_20260909_160656,S00,86,images/us_imu_20260909_160656_00086.png,,8.597,train,0
us_imu_20260909_160656,S00,87,images/us_imu_20260909_160656_00087.png,,8.692,train,0
us_imu_20260909_160656,S00,88,images/us_imu_20260909_160656_00088.png,,8.793,train,0
us_imu_20260909_160656,S00,89,images/us_imu_20260909_160656_00089.png,,8.895,train,0
us_imu_20260909_160656,S00,90,images/us_imu_20260909_160656_00090.png,,8.995,train,0
us_imu_20260909_160656,S00,91,images/us_imu_20260909_160656_00091.png,,9.093,train,0
us_imu_20260909_160656,S00,92,images/us_imu_20260909_160656_00092.png,,9.196,train,0
us_imu_20260909_160656,S00,93,images/us_imu_20260909_160656_00093.png,,9.293,train,0
us_imu_20260909_160656,S00,94,images/us_imu_20260909_160656_00094.png,,9.395,train,0
